timestamp,current_replicas,desired_replicas,current_cpu_percentage,target_cpu_percentage,experiment
2026-07-19 20:58:32+00:00,1,1,0.0,50.0,baseline
2026-07-19 20:58:48+00:00,1,1,0.0,50.0,baseline
2026-07-19 20:59:04+00:00,1,1,0.0,50.0,baseline
2026-07-19 20:59:19+00:00,1,1,0.0,50.0,baseline
2026-07-19 20:59:36+00:00,1,1,0.0,50.0,baseline
2026-07-19 20:59:51+00:00,1,1,0.0,50.0,baseline
2026-07-19 21:00:07+00:00,1,1,0.0,50.0,baseline
2026-07-19 21:00:23+00:00,1,1,0.0,50.0,baseline
2026-07-19 21:00:38+00:00,1,1,0.0,50.0,baseline
2026-07-19 21:00:54+00:00,1,1,0.0,50.0,baseline
2026-07-19 21:01:10+00:00,1,4,163.0,50.0,baseline
2026-07-19 21:01:26+00:00,4,4,163.0,50.0,baseline
2026-07-19 21:01:41+00:00,4,4,163.0,50.0,baseline
2026-07-19 21:01:57+00:00,4,5,250.0,50.0,baseline
2026-07-19 21:02:13+00:00,5,5,250.0,50.0,baseline
2026-07-19 21:02:29+00:00,5,5,250.0,50.0,baseline
2026-07-19 21:02:45+00:00,5,5,250.0,50.0,baseline
2026-07-19 21:03:01+00:00,5,10,240.0,50.0,baseline
2026-07-19 21:03:16+00:00,10,10,240.0,50.0,baseline
2026-07-19 21:03:32+00:00,10,10,240.0,50.0,baseline
2026-07-19 21:03:49+00:00,10,10,240.0,50.0,baseline
2026-07-19 21:04:04+00:00,10,10,189.0,50.0,baseline
2026-07-19 21:04:20+00:00,10,10,189.0,50.0,baseline
2026-07-19 21:04:36+00:00,10,10,189.0,50.0,baseline
2026-07-19 21:04:52+00:00,10,10,189.0,50.0,baseline
2026-07-19 21:05:08+00:00,10,10,184.0,50.0,baseline
2026-07-19 21:05:24+00:00,10,10,184.0,50.0,baseline
2026-07-19 21:05:40+00:00,10,10,184.0,50.0,baseline
2026-07-19 21:05:55+00:00,10,10,184.0,50.0,baseline
2026-07-19 21:06:11+00:00,10,10,182.0,50.0,baseline
2026-07-19 21:06:27+00:00,10,10,182.0,50.0,baseline
