group,rows,model,MAE,RMSE,R2
All observations,156,Persistence,6.564102564102564,15.527890539779852,0.22635418382042427
All observations,156,Linear Regression,15.986580611524332,19.539402975879163,-0.22501057815788328
All observations,156,Random Forest,34.78857071632072,39.74392407268344,-4.068258394151063
All observations,156,Gradient Boosting,23.65078693228136,27.296824073209876,-1.390790386703591
Change > 10,28,Persistence,29.964285714285715,36.152948901655506,-1.015178004283194
Change > 10,28,Linear Regression,26.301029582846645,34.56838839530463,-0.8424012739040336
Change > 10,28,Random Forest,57.62675821995465,62.371936425041774,-4.997971731454754
Change > 10,28,Gradient Boosting,41.2074026149511,44.62995693272289,-2.0709934842748807
Change > 20,13,Persistence,44.92307692307692,49.72849361204376,-2.598883970859239
Change > 20,13,Linear Regression,35.61686809165088,44.871006706507266,-1.9301433274423125
Change > 20,13,Random Forest,54.17308974358975,60.18722769530892,-4.271884864908258
Change > 20,13,Gradient Boosting,45.138602837285745,48.91720163801484,-2.482414378519195
Change > 50,4,Persistence,74.25,74.2546294853055,-42.522446965959546
Change > 50,4,Linear Regression,73.35451624953261,74.51237721532269,-42.8251158028893
Change > 50,4,Random Forest,71.10826388888889,72.78633346881888,-40.818256259173985
Change > 50,4,Gradient Boosting,46.875267147845,49.83811884635784,-18.606023405179585
