timestamp,current_replicas,desired_replicas,current_cpu_percentage,target_cpu_percentage
2026-07-19T21:58:32+01:00,1,1,0,50
2026-07-19T21:58:48+01:00,1,1,0,50
2026-07-19T21:59:04+01:00,1,1,0,50
2026-07-19T21:59:19+01:00,1,1,0,50
2026-07-19T21:59:36+01:00,1,1,0,50
2026-07-19T21:59:51+01:00,1,1,0,50
2026-07-19T22:00:07+01:00,1,1,0,50
2026-07-19T22:00:23+01:00,1,1,0,50
2026-07-19T22:00:38+01:00,1,1,0,50
2026-07-19T22:00:54+01:00,1,1,0,50
2026-07-19T22:01:10+01:00,1,4,163,50
2026-07-19T22:01:26+01:00,4,4,163,50
2026-07-19T22:01:41+01:00,4,4,163,50
2026-07-19T22:01:57+01:00,4,5,250,50
2026-07-19T22:02:13+01:00,5,5,250,50
2026-07-19T22:02:29+01:00,5,5,250,50
2026-07-19T22:02:45+01:00,5,5,250,50
2026-07-19T22:03:01+01:00,5,10,240,50
2026-07-19T22:03:16+01:00,10,10,240,50
2026-07-19T22:03:32+01:00,10,10,240,50
2026-07-19T22:03:49+01:00,10,10,240,50
2026-07-19T22:04:04+01:00,10,10,189,50
2026-07-19T22:04:20+01:00,10,10,189,50
2026-07-19T22:04:36+01:00,10,10,189,50
2026-07-19T22:04:52+01:00,10,10,189,50
2026-07-19T22:05:08+01:00,10,10,184,50
2026-07-19T22:05:24+01:00,10,10,184,50
2026-07-19T22:05:40+01:00,10,10,184,50
2026-07-19T22:05:55+01:00,10,10,184,50
2026-07-19T22:06:11+01:00,10,10,182,50
2026-07-19T22:06:27+01:00,10,10,182,50
2026-07-19T22:06:43+01:00,10,10,182,50
2026-07-19T22:06:59+01:00,10,10,183,50
2026-07-19T22:07:15+01:00,10,10,183,50
2026-07-19T22:07:30+01:00,10,10,183,50
2026-07-19T22:07:46+01:00,10,10,183,50
2026-07-19T22:08:01+01:00,10,10,183,50
2026-07-19T22:08:17+01:00,10,10,183,50
2026-07-19T22:08:33+01:00,10,10,183,50
2026-07-19T22:08:48+01:00,10,10,183,50
2026-07-19T22:09:04+01:00,10,10,183,50
2026-07-19T22:09:20+01:00,10,10,183,50
2026-07-19T22:09:35+01:00,10,10,183,50
2026-07-19T22:09:51+01:00,10,10,183,50
2026-07-19T22:10:06+01:00,10,10,181,50
2026-07-19T22:10:22+01:00,10,10,181,50
2026-07-19T22:10:38+01:00,10,10,181,50
2026-07-19T22:10:53+01:00,10,10,181,50
2026-07-19T22:11:09+01:00,10,10,91,50
2026-07-19T22:11:25+01:00,10,10,91,50
2026-07-19T22:11:40+01:00,10,10,91,50
2026-07-19T22:11:56+01:00,10,10,91,50
2026-07-19T22:12:12+01:00,10,10,17,50
2026-07-19T22:12:27+01:00,10,10,17,50
2026-07-19T22:12:43+01:00,10,10,17,50
2026-07-19T22:12:58+01:00,10,10,17,50
2026-07-19T22:13:14+01:00,10,10,0,50
2026-07-19T22:13:30+01:00,10,10,0,50
2026-07-19T22:13:45+01:00,10,10,0,50
2026-07-19T22:14:01+01:00,10,10,0,50
2026-07-19T22:14:17+01:00,10,10,0,50
2026-07-19T22:14:33+01:00,10,10,0,50
2026-07-19T22:14:48+01:00,10,10,0,50
2026-07-19T22:15:04+01:00,10,10,0,50
2026-07-19T22:15:20+01:00,10,10,0,50
2026-07-19T22:15:36+01:00,10,10,0,50
2026-07-19T22:15:51+01:00,10,10,0,50
2026-07-19T22:16:07+01:00,10,10,0,50
2026-07-19T22:16:23+01:00,10,10,0,50
2026-07-19T22:16:39+01:00,10,10,0,50
2026-07-19T22:16:55+01:00,10,10,0,50
2026-07-19T22:17:10+01:00,10,10,0,50
2026-07-19T22:17:26+01:00,10,10,0,50
2026-07-19T22:17:41+01:00,10,10,0,50
2026-07-19T22:17:57+01:00,10,10,0,50
2026-07-19T22:18:12+01:00,10,10,0,50
2026-07-19T22:18:28+01:00,10,10,0,50
2026-07-19T22:18:44+01:00,10,10,0,50
2026-07-19T22:18:59+01:00,10,1,0,50
2026-07-19T22:19:15+01:00,1,1,0,50
2026-07-19T22:19:30+01:00,1,1,0,50
2026-07-19T22:19:46+01:00,1,1,0,50
2026-07-19T22:20:02+01:00,1,1,0,50
2026-07-19T22:20:17+01:00,1,1,0,50
2026-07-19T22:20:33+01:00,1,1,0,50
2026-07-19T22:20:49+01:00,1,1,0,50
2026-07-19T22:21:04+01:00,1,1,0,50
2026-07-19T22:21:20+01:00,1,1,0,50
2026-07-19T22:21:35+01:00,1,1,0,50
2026-07-19T22:21:51+01:00,1,1,0,50
2026-07-19T22:22:07+01:00,1,1,0,50
2026-07-19T22:22:22+01:00,1,1,0,50
2026-07-19T22:22:38+01:00,1,1,0,50
2026-07-19T22:22:53+01:00,1,1,0,50
2026-07-19T22:23:09+01:00,1,1,0,50
2026-07-19T22:23:25+01:00,1,1,0,50
2026-07-19T22:23:40+01:00,1,1,0,50
