timestamp,current_replicas,desired_replicas,current_cpu_percentage,target_cpu_percentage
2026-07-19T23:34:02+01:00,1,1,0,50
2026-07-19T23:34:08+01:00,1,1,0,50
2026-07-19T23:34:14+01:00,1,1,0,50
2026-07-19T23:34:19+01:00,1,1,0,50
2026-07-19T23:34:25+01:00,1,1,0,50
2026-07-19T23:34:30+01:00,1,1,0,50
2026-07-19T23:34:36+01:00,1,1,0,50
2026-07-19T23:34:41+01:00,1,1,0,50
2026-07-19T23:34:47+01:00,1,1,0,50
2026-07-19T23:34:52+01:00,1,1,0,50
2026-07-19T23:34:58+01:00,1,1,0,50
2026-07-19T23:35:03+01:00,1,1,0,50
2026-07-19T23:35:09+01:00,1,1,0,50
2026-07-19T23:35:15+01:00,1,1,0,50
2026-07-19T23:35:21+01:00,1,1,0,50
2026-07-19T23:35:27+01:00,1,1,0,50
2026-07-19T23:35:32+01:00,1,1,0,50
2026-07-19T23:35:38+01:00,1,1,0,50
2026-07-19T23:35:44+01:00,1,1,0,50
2026-07-19T23:35:49+01:00,1,1,0,50
2026-07-19T23:35:55+01:00,1,1,0,50
2026-07-19T23:36:01+01:00,1,1,0,50
2026-07-19T23:36:06+01:00,1,1,42,50
2026-07-19T23:36:12+01:00,1,1,42,50
2026-07-19T23:36:18+01:00,1,1,42,50
2026-07-19T23:36:24+01:00,1,1,42,50
2026-07-19T23:36:29+01:00,1,1,42,50
2026-07-19T23:36:35+01:00,1,1,42,50
2026-07-19T23:36:41+01:00,1,1,42,50
2026-07-19T23:36:46+01:00,1,1,42,50
2026-07-19T23:36:52+01:00,1,1,42,50
2026-07-19T23:36:57+01:00,1,1,42,50
2026-07-19T23:37:03+01:00,1,4,246,50
2026-07-19T23:37:09+01:00,1,4,246,50
2026-07-19T23:37:15+01:00,1,4,246,50
2026-07-19T23:37:21+01:00,4,5,246,50
2026-07-19T23:37:26+01:00,4,5,246,50
2026-07-19T23:37:32+01:00,4,5,246,50
2026-07-19T23:37:38+01:00,5,5,246,50
2026-07-19T23:37:44+01:00,5,5,246,50
2026-07-19T23:37:49+01:00,5,5,246,50
2026-07-19T23:37:55+01:00,5,5,246,50
2026-07-19T23:38:01+01:00,5,5,246,50
2026-07-19T23:38:07+01:00,5,5,250,50
2026-07-19T23:38:12+01:00,5,5,250,50
2026-07-19T23:38:18+01:00,5,5,250,50
2026-07-19T23:38:24+01:00,5,5,250,50
2026-07-19T23:38:30+01:00,5,5,250,50
2026-07-19T23:38:35+01:00,5,5,250,50
2026-07-19T23:38:42+01:00,5,5,250,50
2026-07-19T23:38:47+01:00,5,5,250,50
2026-07-19T23:38:53+01:00,5,5,250,50
2026-07-19T23:38:59+01:00,5,5,250,50
2026-07-19T23:39:05+01:00,5,10,186,50
2026-07-19T23:39:11+01:00,5,10,186,50
2026-07-19T23:39:19+01:00,10,10,186,50
