timestamp,current_replicas,desired_replicas,current_cpu_percentage,target_cpu_percentage
2026-07-20T00:59:27+01:00,1,1,0,50
2026-07-20T00:59:43+01:00,1,1,0,50
2026-07-20T00:59:59+01:00,1,1,0,50
2026-07-20T01:00:15+01:00,1,1,5,50
2026-07-20T01:00:30+01:00,1,1,5,50
2026-07-20T01:00:46+01:00,1,1,5,50
2026-07-20T01:01:10+01:00,1,4,210,50
2026-07-20T01:01:26+01:00,4,5,210,50
2026-07-20T01:01:42+01:00,5,5,210,50
2026-07-20T01:01:58+01:00,5,5,210,50
2026-07-20T01:02:14+01:00,5,5,250,50
2026-07-20T01:02:30+01:00,5,5,250,50
2026-07-20T01:02:46+01:00,5,5,250,50
2026-07-20T01:03:02+01:00,5,5,250,50
2026-07-20T01:03:17+01:00,5,10,175,50
2026-07-20T01:03:33+01:00,10,10,175,50
2026-07-20T01:03:49+01:00,10,10,175,50
2026-07-20T01:04:05+01:00,10,10,191,50
2026-07-20T01:04:21+01:00,10,10,191,50
2026-07-20T01:04:37+01:00,10,10,191,50
2026-07-20T01:04:52+01:00,10,10,191,50
2026-07-20T01:05:08+01:00,10,10,179,50
2026-07-20T01:05:24+01:00,10,10,179,50
2026-07-20T01:05:40+01:00,10,10,179,50
2026-07-20T01:05:56+01:00,10,10,179,50
2026-07-20T01:06:12+01:00,10,10,181,50
2026-07-20T01:06:27+01:00,10,10,181,50
2026-07-20T01:06:44+01:00,10,10,182,50
2026-07-20T01:07:00+01:00,10,10,182,50
2026-07-20T01:07:15+01:00,10,10,183,50
2026-07-20T01:07:31+01:00,10,10,183,50
2026-07-20T01:07:47+01:00,10,10,183,50
2026-07-20T01:08:03+01:00,10,10,183,50
2026-07-20T01:08:19+01:00,10,10,183,50
2026-07-20T01:08:35+01:00,10,10,183,50
2026-07-20T01:08:51+01:00,10,10,183,50
2026-07-20T01:09:07+01:00,10,10,184,50
2026-07-20T01:09:26+01:00,10,10,184,50
2026-07-20T01:09:42+01:00,10,10,184,50
2026-07-20T01:09:58+01:00,10,10,184,50
2026-07-20T01:10:14+01:00,10,10,184,50
2026-07-20T01:10:30+01:00,10,10,184,50
2026-07-20T01:10:45+01:00,10,10,184,50
2026-07-20T01:11:01+01:00,10,10,184,50
2026-07-20T01:11:17+01:00,10,10,182,50
2026-07-20T01:11:33+01:00,10,10,182,50
2026-07-20T01:11:49+01:00,10,10,182,50
2026-07-20T01:12:04+01:00,10,10,184,50
2026-07-20T01:12:20+01:00,10,10,183,50
2026-07-20T01:12:36+01:00,10,10,184,50
2026-07-20T01:12:52+01:00,10,10,177,50
2026-07-20T01:13:08+01:00,10,10,177,50
2026-07-20T01:13:24+01:00,10,10,177,50
2026-07-20T01:13:40+01:00,10,10,177,50
2026-07-20T01:13:55+01:00,10,10,151,50
2026-07-20T01:14:11+01:00,10,10,151,50
2026-07-20T01:14:27+01:00,10,10,151,50
2026-07-20T01:14:43+01:00,10,10,151,50
2026-07-20T01:14:59+01:00,10,10,178,50
2026-07-20T01:15:15+01:00,10,10,178,50
2026-07-20T01:15:31+01:00,10,10,178,50
2026-07-20T01:15:47+01:00,10,10,178,50
2026-07-20T01:16:03+01:00,10,10,183,50
2026-07-20T01:16:18+01:00,10,10,183,50
2026-07-20T01:16:34+01:00,10,10,183,50
2026-07-20T01:16:50+01:00,10,10,183,50
2026-07-20T01:17:06+01:00,10,10,184,50
2026-07-20T01:17:22+01:00,10,10,184,50
2026-07-20T01:17:37+01:00,10,10,184,50
2026-07-20T01:17:53+01:00,10,10,182,50
2026-07-20T01:18:09+01:00,10,10,182,50
2026-07-20T01:18:25+01:00,10,10,182,50
2026-07-20T01:18:41+01:00,10,10,182,50
2026-07-20T01:18:57+01:00,10,10,183,50
2026-07-20T01:19:12+01:00,10,10,183,50
2026-07-20T01:19:28+01:00,10,10,183,50
2026-07-20T01:19:44+01:00,10,10,183,50
2026-07-20T01:20:00+01:00,10,10,128,50
2026-07-20T01:20:16+01:00,10,10,128,50
2026-07-20T01:20:32+01:00,10,10,128,50
2026-07-20T01:20:47+01:00,10,10,128,50
2026-07-20T01:21:03+01:00,10,10,0,50
2026-07-20T01:21:19+01:00,10,10,0,50
2026-07-20T01:21:35+01:00,10,10,0,50
2026-07-20T01:21:51+01:00,10,10,0,50
2026-07-20T01:22:07+01:00,10,10,0,50
2026-07-20T01:22:23+01:00,10,10,0,50
2026-07-20T01:22:39+01:00,10,10,0,50
2026-07-20T01:22:55+01:00,10,10,0,50
2026-07-20T01:23:11+01:00,10,10,0,50
2026-07-20T01:23:26+01:00,10,10,0,50
2026-07-20T01:23:42+01:00,10,10,0,50
2026-07-20T01:23:58+01:00,10,10,0,50
2026-07-20T01:24:14+01:00,10,10,0,50
2026-07-20T01:24:30+01:00,10,10,0,50
2026-07-20T01:24:45+01:00,10,10,0,50
2026-07-20T01:25:02+01:00,10,10,0,50
2026-07-20T01:25:58+01:00,1,1,0,50
2026-07-20T01:26:14+01:00,1,1,0,50
