timestamp,current_replicas,desired_replicas,current_cpu_percentage,target_cpu_percentage
2026-07-21T23:38:13+01:00,1,1,7,50
2026-07-21T23:38:31+01:00,1,1,7,50
2026-07-21T23:38:47+01:00,1,1,7,50
2026-07-21T23:39:03+01:00,1,2,99,50
2026-07-21T23:39:19+01:00,2,2,99,50
2026-07-21T23:39:35+01:00,2,2,99,50
2026-07-21T23:39:51+01:00,2,2,99,50
2026-07-21T23:40:06+01:00,2,4,174,50
2026-07-21T23:40:22+01:00,4,4,174,50
2026-07-21T23:40:38+01:00,4,4,174,50
2026-07-21T23:40:53+01:00,4,7,173,50
2026-07-21T23:41:09+01:00,7,7,175,50
2026-07-21T23:41:25+01:00,7,7,175,50
2026-07-21T23:41:41+01:00,7,14,151,50
2026-07-21T23:41:57+01:00,14,16,151,50
2026-07-21T23:42:13+01:00,16,16,151,50
2026-07-21T23:42:28+01:00,16,16,151,50
2026-07-21T23:42:44+01:00,16,20,151,50
2026-07-21T23:43:00+01:00,20,20,151,50
2026-07-21T23:43:16+01:00,20,20,151,50
2026-07-21T23:43:32+01:00,20,20,151,50
2026-07-21T23:43:48+01:00,20,20,113,50
2026-07-21T23:44:03+01:00,20,20,115,50
2026-07-21T23:44:19+01:00,20,20,113,50
2026-07-21T23:44:35+01:00,20,20,115,50
2026-07-21T23:44:51+01:00,20,20,94,50
2026-07-21T23:45:07+01:00,20,20,94,50
2026-07-21T23:45:23+01:00,20,20,94,50
2026-07-21T23:45:39+01:00,20,20,77,50
2026-07-21T23:45:55+01:00,20,20,77,50
2026-07-21T23:46:11+01:00,20,20,78,50
2026-07-21T23:46:27+01:00,20,20,78,50
2026-07-21T23:46:42+01:00,20,20,151,50
2026-07-21T23:46:58+01:00,20,20,152,50
2026-07-21T23:47:15+01:00,20,20,151,50
2026-07-21T23:47:31+01:00,20,20,151,50
2026-07-21T23:47:47+01:00,20,20,152,50
2026-07-21T23:48:03+01:00,20,20,152,50
2026-07-21T23:48:19+01:00,20,20,152,50
2026-07-21T23:48:34+01:00,20,20,152,50
2026-07-21T23:48:50+01:00,20,20,152,50
2026-07-21T23:49:06+01:00,20,20,152,50
2026-07-21T23:49:22+01:00,20,20,152,50
2026-07-21T23:49:38+01:00,20,20,152,50
2026-07-21T23:49:54+01:00,20,20,151,50
2026-07-21T23:50:10+01:00,20,20,151,50
2026-07-21T23:50:26+01:00,20,20,151,50
2026-07-21T23:50:42+01:00,20,20,150,50
2026-07-21T23:50:58+01:00,20,20,151,50
2026-07-21T23:51:14+01:00,20,20,150,50
2026-07-21T23:51:29+01:00,20,20,150,50
2026-07-21T23:51:45+01:00,20,20,141,50
2026-07-21T23:52:01+01:00,20,20,141,50
2026-07-21T23:52:17+01:00,20,20,141,50
2026-07-21T23:52:33+01:00,20,20,141,50
