timestamp,current_replicas,desired_replicas,current_cpu_percentage,target_cpu_percentage
2026-07-20T00:17:29+01:00,1,1,0,50
2026-07-20T00:17:35+01:00,1,1,0,50
2026-07-20T00:17:40+01:00,1,1,0,50
2026-07-20T00:17:46+01:00,1,1,0,50
2026-07-20T00:17:52+01:00,1,1,0,50
2026-07-20T00:17:58+01:00,1,1,0,50
2026-07-20T00:18:03+01:00,1,1,0,50
2026-07-20T00:18:09+01:00,1,1,0,50
2026-07-20T00:18:15+01:00,1,1,0,50
2026-07-20T00:18:21+01:00,1,1,0,50
2026-07-20T00:18:27+01:00,1,1,0,50
2026-07-20T00:18:32+01:00,1,1,0,50
2026-07-20T00:18:38+01:00,1,1,0,50
2026-07-20T00:18:44+01:00,1,1,0,50
2026-07-20T00:18:50+01:00,1,1,0,50
2026-07-20T00:18:56+01:00,1,1,9,50
2026-07-20T00:19:01+01:00,1,1,9,50
2026-07-20T00:19:07+01:00,1,1,9,50
2026-07-20T00:19:14+01:00,1,1,9,50
2026-07-20T00:19:19+01:00,1,1,9,50
2026-07-20T00:19:25+01:00,1,1,9,50
2026-07-20T00:19:31+01:00,1,1,9,50
2026-07-20T00:19:37+01:00,1,1,9,50
2026-07-20T00:19:42+01:00,1,1,9,50
2026-07-20T00:19:48+01:00,1,1,9,50
2026-07-20T00:19:53+01:00,1,1,9,50
2026-07-20T00:19:59+01:00,1,3,115,50
2026-07-20T00:20:04+01:00,1,3,115,50
2026-07-20T00:20:09+01:00,1,3,115,50
2026-07-20T00:20:15+01:00,3,3,115,50
2026-07-20T00:20:20+01:00,3,3,115,50
2026-07-20T00:20:26+01:00,3,3,133,50
2026-07-20T00:20:32+01:00,3,3,133,50
2026-07-20T00:20:37+01:00,3,3,133,50
2026-07-20T00:20:43+01:00,3,3,115,50
2026-07-20T00:20:49+01:00,3,3,115,50
2026-07-20T00:20:55+01:00,3,3,115,50
2026-07-20T00:21:01+01:00,3,3,111,50
2026-07-20T00:21:06+01:00,3,3,111,50
2026-07-20T00:21:12+01:00,3,3,111,50
2026-07-20T00:21:18+01:00,3,3,111,50
2026-07-20T00:21:24+01:00,3,3,111,50
2026-07-20T00:21:29+01:00,3,3,131,50
2026-07-20T00:21:35+01:00,3,3,131,50
2026-07-20T00:21:41+01:00,3,3,131,50
2026-07-20T00:21:47+01:00,3,3,131,50
2026-07-20T00:21:53+01:00,3,3,131,50
2026-07-20T00:21:58+01:00,3,6,122,50
2026-07-20T00:22:04+01:00,3,6,122,50
2026-07-20T00:22:10+01:00,3,6,122,50
2026-07-20T00:22:16+01:00,6,8,122,50
2026-07-20T00:22:21+01:00,6,8,122,50
2026-07-20T00:22:27+01:00,8,8,122,50
2026-07-20T00:22:32+01:00,8,8,122,50
2026-07-20T00:22:37+01:00,8,8,122,50
2026-07-20T00:22:43+01:00,8,8,122,50
2026-07-20T00:22:48+01:00,8,8,122,50
2026-07-20T00:22:54+01:00,8,8,122,50
2026-07-20T00:22:59+01:00,8,8,77,50
2026-07-20T00:23:05+01:00,8,8,77,50
2026-07-20T00:23:10+01:00,8,8,77,50
2026-07-20T00:23:16+01:00,8,8,77,50
2026-07-20T00:23:21+01:00,8,8,77,50
2026-07-20T00:23:27+01:00,8,8,77,50
2026-07-20T00:23:32+01:00,8,8,77,50
2026-07-20T00:23:38+01:00,8,8,77,50
2026-07-20T00:23:43+01:00,8,8,77,50
2026-07-20T00:23:49+01:00,8,8,77,50
2026-07-20T00:23:54+01:00,8,8,77,50
2026-07-20T00:23:59+01:00,8,10,227,50
2026-07-20T00:24:05+01:00,8,10,227,50
2026-07-20T00:24:11+01:00,10,10,227,50
2026-07-20T00:24:17+01:00,10,10,227,50
2026-07-20T00:24:23+01:00,10,10,227,50
2026-07-20T00:24:29+01:00,10,10,227,50
2026-07-20T00:24:34+01:00,10,10,227,50
2026-07-20T00:24:40+01:00,10,10,227,50
2026-07-20T00:24:46+01:00,10,10,227,50
2026-07-20T00:24:52+01:00,10,10,227,50
2026-07-20T00:24:58+01:00,10,10,227,50
2026-07-20T00:25:04+01:00,10,10,227,50
2026-07-20T00:25:09+01:00,10,10,227,50
2026-07-20T00:25:15+01:00,10,10,227,50
2026-07-20T00:25:21+01:00,10,10,227,50
2026-07-20T00:25:27+01:00,10,10,227,50
2026-07-20T00:25:33+01:00,10,10,227,50
2026-07-20T00:25:39+01:00,10,10,227,50
2026-07-20T00:25:44+01:00,10,10,227,50
2026-07-20T00:25:50+01:00,10,10,227,50
2026-07-20T00:25:56+01:00,10,10,182,50
2026-07-20T00:26:02+01:00,10,10,182,50
2026-07-20T00:26:08+01:00,10,10,182,50
2026-07-20T00:26:14+01:00,10,10,182,50
2026-07-20T00:26:20+01:00,10,10,182,50
2026-07-20T00:26:25+01:00,10,10,182,50
2026-07-20T00:26:31+01:00,10,10,182,50
