timestamp,current_replicas,desired_replicas,current_cpu_percentage,target_cpu_percentage
2026-08-02T20:12:49+01:00,1,1,0,50
2026-08-02T20:12:59+01:00,1,1,0,50
2026-08-02T20:13:10+01:00,1,1,0,50
2026-08-02T20:13:21+01:00,1,1,0,50
2026-08-02T20:13:31+01:00,1,1,0,50
2026-08-02T20:13:42+01:00,1,1,0,50
2026-08-02T20:13:53+01:00,1,1,0,50
2026-08-02T20:14:03+01:00,1,1,0,50
2026-08-02T20:14:14+01:00,1,1,0,50
2026-08-02T20:14:25+01:00,1,1,0,50
2026-08-02T20:14:36+01:00,1,1,0,50
2026-08-02T20:14:46+01:00,1,1,0,50
2026-08-02T20:14:57+01:00,1,1,0,50
2026-08-02T20:15:08+01:00,1,1,0,50
2026-08-02T20:15:19+01:00,1,1,0,50
2026-08-02T20:15:30+01:00,1,1,0,50
2026-08-02T20:15:40+01:00,1,1,0,50
2026-08-02T20:15:51+01:00,1,1,0,50
2026-08-02T20:16:02+01:00,1,1,0,50
2026-08-02T20:16:13+01:00,1,1,0,50
2026-08-02T20:16:23+01:00,1,1,0,50
2026-08-02T20:16:34+01:00,1,1,0,50
2026-08-02T20:16:45+01:00,1,1,0,50
2026-08-02T20:16:55+01:00,1,1,0,50
2026-08-02T20:17:06+01:00,1,1,0,50
2026-08-02T20:17:17+01:00,1,1,0,50
2026-08-02T20:17:28+01:00,1,1,0,50
2026-08-02T20:17:39+01:00,1,1,0,50
2026-08-02T20:17:49+01:00,1,1,0,50
2026-08-02T20:18:00+01:00,1,1,12,50
2026-08-02T20:18:11+01:00,1,1,12,50
2026-08-02T20:18:22+01:00,1,1,12,50
2026-08-02T20:18:33+01:00,1,1,12,50
2026-08-02T20:18:43+01:00,1,1,12,50
2026-08-02T20:18:54+01:00,1,1,12,50
2026-08-02T20:19:05+01:00,1,1,33,50
2026-08-02T20:19:16+01:00,1,1,33,50
2026-08-02T20:19:26+01:00,1,1,33,50
2026-08-02T20:19:37+01:00,1,1,33,50
2026-08-02T20:19:47+01:00,1,1,33,50
2026-08-02T20:19:57+01:00,1,1,33,50
2026-08-02T20:20:08+01:00,1,1,32,50
2026-08-02T20:20:19+01:00,1,1,32,50
2026-08-02T20:20:30+01:00,1,1,32,50
2026-08-02T20:20:41+01:00,1,1,32,50
2026-08-02T20:20:51+01:00,1,1,32,50
2026-08-02T20:21:02+01:00,1,2,58,50
2026-08-02T20:21:13+01:00,1,2,58,50
2026-08-02T20:21:24+01:00,2,2,58,50
2026-08-02T20:21:35+01:00,2,2,58,50
2026-08-02T20:21:45+01:00,2,2,58,50
2026-08-02T20:21:56+01:00,2,2,58,50
2026-08-02T20:22:07+01:00,2,2,65,50
