timestamp,current_replicas,desired_replicas,current_cpu_percentage,target_cpu_percentage
2026-08-04T19:32:53+01:00,1,1,0,50
2026-08-04T19:33:03+01:00,1,1,0,50
2026-08-04T19:33:13+01:00,1,1,0,50
2026-08-04T19:33:23+01:00,1,1,0,50
2026-08-04T19:33:33+01:00,1,1,0,50
2026-08-04T19:33:43+01:00,1,1,0,50
2026-08-04T19:33:53+01:00,1,1,0,50
2026-08-04T19:34:03+01:00,1,1,0,50
2026-08-04T19:34:13+01:00,1,1,0,50
2026-08-04T19:34:23+01:00,1,1,0,50
2026-08-04T19:34:33+01:00,1,1,0,50
2026-08-04T19:34:43+01:00,1,1,0,50
2026-08-04T19:34:53+01:00,1,1,1,50
2026-08-04T19:35:03+01:00,1,1,1,50
2026-08-04T19:35:13+01:00,1,1,1,50
2026-08-04T19:35:23+01:00,1,1,1,50
2026-08-04T19:35:33+01:00,1,1,1,50
2026-08-04T19:35:43+01:00,1,1,1,50
2026-08-04T19:35:53+01:00,1,1,0,50
2026-08-04T19:36:03+01:00,1,1,0,50
2026-08-04T19:36:13+01:00,1,1,0,50
2026-08-04T19:36:23+01:00,1,1,0,50
2026-08-04T19:36:33+01:00,1,1,0,50
2026-08-04T19:36:43+01:00,1,1,0,50
2026-08-04T19:36:53+01:00,1,1,22,50
2026-08-04T19:37:03+01:00,1,1,22,50
2026-08-04T19:37:13+01:00,1,1,22,50
2026-08-04T19:37:23+01:00,1,1,22,50
2026-08-04T19:37:33+01:00,1,1,22,50
2026-08-04T19:37:43+01:00,1,1,22,50
2026-08-04T19:37:53+01:00,1,1,36,50
2026-08-04T19:38:03+01:00,1,1,36,50
2026-08-04T19:38:13+01:00,1,1,36,50
2026-08-04T20:00:34+01:00,2,2,36,50
2026-08-04T20:00:44+01:00,2,2,36,50
2026-08-04T20:00:54+01:00,2,2,36,50
2026-08-04T20:01:04+01:00,2,2,36,50
2026-08-04T20:01:14+01:00,2,2,36,50
2026-08-04T20:01:24+01:00,2,2,36,50
2026-08-04T20:01:34+01:00,2,2,36,50
2026-08-04T20:01:44+01:00,2,2,36,50
2026-08-04T20:01:54+01:00,2,2,37,50
2026-08-04T20:02:04+01:00,2,2,37,50
2026-08-04T20:02:14+01:00,2,2,37,50
2026-08-04T20:02:24+01:00,2,2,37,50
2026-08-04T20:02:34+01:00,2,2,37,50
2026-08-04T20:02:44+01:00,2,2,37,50
2026-08-04T20:02:54+01:00,2,2,37,50
2026-08-04T20:03:04+01:00,2,2,37,50
2026-08-04T20:03:14+01:00,2,2,37,50
2026-08-04T20:03:24+01:00,2,2,37,50
2026-08-04T20:03:34+01:00,2,2,37,50
2026-08-04T20:03:44+01:00,2,2,35,50
