model,split,rows,MAE,RMSE,R2,training_time_seconds,test_inference_time_seconds
Persistence Baseline,training,1109,3.478809738503156,7.698558880517178,0.8171315895179044,0.0,0.0
Persistence Baseline,validation,238,2.5588235294117645,4.930184853438624,0.8873313454175634,0.0,0.0
Persistence Baseline,testing,238,6.894957983193278,11.937336386313323,0.6981065557887267,0.0,0.0
Linear Regression,training,1109,4.209056297656441,7.239430760679962,0.8382930610704371,0.026864600000408245,0.0009021000005304813
Linear Regression,validation,238,3.5450646740449256,5.104693297801475,0.8792141639989843,0.026864600000408245,0.0009021000005304813
Linear Regression,testing,238,7.055745152215621,11.005928900984417,0.7433789818868011,0.026864600000408245,0.0009021000005304813
Random Forest,training,1109,1.2347181614895282,2.4049364699859823,0.9821545692573834,0.6715985000000728,0.06219450000025972
Random Forest,validation,238,3.903121809334363,5.926099655316863,0.8372149178809107,0.6715985000000728,0.06219450000025972
Random Forest,testing,238,7.0628588502948935,10.679373596062328,0.7583813924296994,0.6715985000000728,0.06219450000025972
Gradient Boosting,training,1109,2.5175637006323037,3.943571099888118,0.9520156994029291,0.4779918000003818,0.002252999999655003
Gradient Boosting,validation,238,3.6658756712705416,5.78205902312963,0.8450321016308607,0.4779918000003818,0.002252999999655003
Gradient Boosting,testing,238,6.655077879669857,10.195989559034656,0.7797592983562501,0.4779918000003818,0.002252999999655003
